A,B,C,D
1663,1884,591,988
279,279,279,1495
309,54,17,1471
893,893,1786,1838
102,102,204,1471
1253,1253,1253,242
1530,1835,317,737
1396,698,698,856
1999,977,1649,1662
63,63,63,1760
367,734,367,1145
41,1572,499,1580
157,1723,1629,1440
210,210,210,1673
503,1054,1332,1513
877,1754,877,117
498,249,249,1766
1649,1753,285,185
1850,925,925,957
553,22,1692,115
1164,1651,216,1718
601,1464,1353,700
422,844,422,1462
1452,726,726,265
1925,1925,1925,1350
456,1122,36,199
1777,23,1348,1232
1896,7,1593,904
882,882,882,421
618,618,618,970
661,132,907,1771
1701,1351,1140,1061
806,256,1792,1758
377,342,657,224
1855,1767,68,1443
1005,1005,1005,309
619,894,381,1801
1604,1015,1230,1694
46,1569,1383,1770
859,859,1718,959
881,239,195,1549
365,1645,282,1556
676,1497,43,1126
651,1302,651,1458
544,272,272,711
1228,1228,1228,950
1964,1526,1630,212
1763,63,1980,507
532,266,266,511
1611,1611,1611,1291
1090,511,1236,614
83,166,83,1209
263,263,263,1349
1407,1740,1626,1552
801,350,8,1882
519,1038,519,1955
1869,237,23,1756
437,1641,1033,1386
970,1038,494,482
1332,666,666,238
397,1928,430,1549
1870,935,1627,1807
779,1506,198,1406
932,628,883,381
15,861,187,54
1571,273,62,1768
716,1923,1477,867
1381,784,435,652
839,1678,839,1883
806,1803,1759,251
116,58,58,326
463,463,463,1216
859,1718,859,1951
1330,1334,8,416
605,93,1633,506
568,1627,414,1631
623,1680,1870,1111
195,195,195,352
909,1818,909,1857
1135,741,171,1915
362,1297,384,28
773,813,747,568
586,1172,586,356
638,638,638,1109
1325,1524,922,1769
418,836,418,1548
49,49,49,1767
1772,656,1512,396
1352,418,808,1911
560,159,1470,973
85,85,170,994
1265,179,1366,1357
74,696,887,254
876,438,438,374
331,935,228,1623
905,758,1978,178
616,1232,616,1504
929,1140,1170,390
1068,223,1030,424
452,29,1321,1448
792,1584,792,1969
1094,1094,1094,1228
1532,766,766,1739
1706,1095,1731,1524
1590,1501,1765,491
211,211,422,1575
879,1706,1151,528
1092,243,214,1353
127,254,127,854
245,245,490,685
901,901,901,380
1809,657,791,1192
1813,746,1975,1211
493,986,493,8
939,1856,1455,1122
661,507,522,924
7,530,1847,16
709,1659,1272,1386
1674,1674,1674,1016
800,400,400,140
1097,1798,1960,139
353,706,353,1570
1009,1633,1233,1478
923,923,1846,782
1725,448,1525,65
1028,514,514,1651
296,296,592,726
907,1814,907,941
156,78,78,229
615,615,615,1577
305,716,1306,153
1640,1640,1640,261
246,123,123,1684
961,1920,1524,847
613,613,1226,966
1348,1348,1348,1122
406,57,969,1124
1085,986,554,926
857,246,1383,82
1093,419,93,1188
225,225,225,1785
202,404,202,837
178,1820,802,1366
663,663,1326,1183
1005,1658,876,1118
1100,1742,1641,1699
651,651,1302,1390
281,281,562,1521
1760,880,880,14
106,53,53,293
607,319,1005,125
1992,827,1945,1364
994,1801,217,1218
1794,770,651,405
1549,221,159,1198
539,539,539,1684
1079,738,862,1016
558,558,558,1417
382,764,382,339
1794,1391,1154,526
667,667,1334,1390
978,710,1884,1289
212,1254,140,1693
342,715,1431,1462
673,1346,673,1022
1056,1182,1948,1767
1482,890,188,191
625,1250,625,1943
1332,428,642,174
568,265,1611,781
210,1610,1480,1070
357,882,1579,294
1044,87,1777,1234
150,463,1887,1518
731,1462,731,968
213,1183,1995,453
1851,932,1653,852
320,1005,34,1245
1206,1278,417,442
374,748,374,572
763,763,763,477
39,39,78,1656
778,1671,1435,1363
949,1986,1181,329
252,253,1113,805
1741,1256,1218,164
1139,1023,1045,1706
1723,1260,414,580
1656,890,539,1497
1847,1348,271,1323
1682,841,841,1488
1301,665,1788,1468
1626,1119,880,1914
1803,861,266,1641
1353,601,1271,441
1072,230,1398,675
178,89,89,1836
213,1315,1797,829
644,848,728,1315
1072,536,536,1341
144,288,144,1087
243,797,934,1834
145,145,290,1439
1874,742,288,413
592,592,1184,1014
84,456,203,1739
1268,1868,1182,1608
890,275,115,1917
1126,1126,1126,739
1268,1658,871,1984
18,9,9,1533
697,492,1083,1233
1114,1114,1114,747
455,1978,1057,1585
1421,1421,1421,505
446,446,446,1007
713,713,1426,1059
1835,1727,1544,1968
1410,453,508,33
1369,1011,147,692
800,860,954,622
1662,1370,1523,1730
1372,686,686,238
1585,1907,1174,1860
1263,907,1515,444
377,1283,1045,1710
225,496,1534,1607
580,798,1432,711
1954,977,977,1684
232,1550,113,1993
682,1364,682,230
1028,564,219,855
1251,1251,1251,485
435,258,1745,540
676,511,1096,1957
1778,889,889,1711
554,277,277,591
721,1442,721,1458
585,1273,1412,1021
1530,1530,1530,743
546,273,273,528
1783,1587,1062,1072
770,385,385,178
908,908,1816,508
864,1398,1462,742
899,899,899,1182
1184,730,295,834
1979,22,828,1593
1799,28,1708,1042
520,1040,520,1252
90,180,90,1635
1284,337,438,1558
990,1877,688,124
647,654,686,510
1789,99,423,1301
5,1690,1044,1801
928,1225,1258,1779
1333,151,483,106
188,188,376,1332
1554,1554,1554,698
1919,298,1713,1895
323,323,646,226
877,877,877,1722
1241,1241,1241,406
480,240,240,1102
294,795,96,220
1840,920,920,370
1092,1979,1757,437
1952,1952,1952,1051
1727,1544,1978,750
912,912,1824,345
151,1466,717,1618
369,738,369,1796
800,800,1600,246
760,1520,760,1048
802,802,1604,1068
458,1967,925,626
1494,1295,952,1060
1533,701,650,1836
1822,1866,1099,1813
1197,106,1543,1696
821,1250,1786,1258
615,668,1507,1438
782,834,533,1953
561,561,561,1822
1289,396,855,320
1601,1601,1601,871
942,471,471,1934
446,446,892,1843
441,805,1672,1963
682,473,551,1745
1982,1616,396,537
834,417,417,1401
94,1603,249,382
691,522,406,975
549,46,523,431
820,1640,820,865
1724,755,1021,626
1466,733,733,1302
191,191,382,1212
854,854,1708,1602
1327,1034,1932,530
272,544,272,181
149,1762,1477,1455
373,989,39,1741
1278,1278,1278,307
1353,68,1498,1872
1845,249,1120,1455
1554,1680,714,1920
490,490,490,298
1841,135,491,823
1529,1568,644,1657
1395,431,62,511
1314,1607,239,1325
33,33,66,1138
484,907,1707,15
1921,612,1202,105
874,403,865,1632
138,1861,156,613
686,343,343,549
285,8,1638,1163
1578,18,903,324
1930,1930,1930,1469
1788,1721,1642,637
154,154,308,153
1451,1451,1451,1097
351,351,351,548
922,922,1844,1165
921,921,921,726
1815,609,1774,950
1905,1798,130,1886
682,1476,731,132
909,919,1535,919
1991,971,315,763
51,51,51,696
463,1908,232,1585
1292,1655,945,456
1278,1278,1278,1357
132,66,66,973
1297,1917,1743,916
908,454,454,919
1595,1595,1595,365
509,1018,509,424
585,119,1881,1027
302,125,726,590
757,1893,1091,576
1291,649,1593,234
475,1743,193,59
1425,1297,1459,50
823,1270,384,1481
838,1877,252,436
1296,83,1659,525
3,3,6,797
902,451,451,653
1848,924,924,280
1027,956,1366,909
98,196,98,117
503,1006,503,1021
1246,249,1979,1321
1212,606,606,1735
628,1256,628,430
799,1792,387,1455
1591,1674,1041,854
664,951,1726,583
221,1970,1573,1867
1148,574,574,636
1150,575,575,1076
952,1904,952,388
106,106,106,1772
391,782,391,107
1032,516,516,1435
428,973,1994,1215
658,658,1316,1275
1462,1130,1975,1774
242,242,484,809
1712,856,856,407
459,459,918,375
405,1511,1757,1128
1340,1146,600,1250
55,55,55,1350
610,1220,610,1822
1552,776,776,1869
1319,327,1795,543
1694,1905,1890,1754
576,576,1152,842
697,1394,697,372
307,614,307,1788
1816,908,908,1017
934,1010,613,1134
1414,238,397,1310
1600,1600,1600,987
130,130,260,404
942,83,1945,1429
1227,1523,484,1807
157,157,157,1166
1395,1121,1939,406
472,1902,441,1571
770,1200,917,1566
724,1448,724,55
1880,940,940,688
1936,1936,1947,1381
1224,612,612,83
129,129,258,464
518,1705,1597,1854
488,1659,1477,1290
1111,452,118,1552
116,58,58,1160
441,1936,83,1919
336,336,672,623
362,248,86,690
1945,612,62,479
932,384,1048,1274
1367,1390,1652,68
1856,481,811,1305
657,1027,1939,1404
1732,866,866,314
1365,277,784,975
806,1612,806,538
1967,78,110,1423
288,576,288,1400
1588,1764,899,1511
572,572,572,1762
1033,1782,1828,1589
243,486,243,333
1816,112,1553,876
1880,1520,394,860
424,1878,1382,1173
1921,1540,500,1341
102,51,51,1874
304,304,304,949
307,177,1960,976
1199,378,557,1767
693,1386,693,255
1931,1931,1931,92
575,417,1358,93
1104,1104,1104,84
1962,680,654,1553
1652,681,1647,766
1660,480,644,511
1630,815,815,647
1582,850,1557,1022
1588,306,411,1505
1498,198,1049,1808
1749,272,1428,1555
1823,1378,1812,1452
209,418,209,604
8,166,418,724
1843,641,897,1736
1744,872,872,900
1599,1982,24,1433
604,1765,897,1521
307,47,774,484
26,1189,446,1337
1142,1941,1702,1624
1192,539,1705,1191
343,1180,755,1879
746,1987,1567,1598
476,952,476,1074
124,1814,1308,282
105,873,622,1515
1496,778,1834,327
679,679,1358,1786
1022,687,309,1315
840,1680,840,1524
645,1213,341,198
741,741,1482,1494
1729,1729,1729,853
1448,1081,1243,539
822,1300,1499,1686
144,1372,1858,936
654,1449,1796,1160
10,20,10,1015
309,1917,92,1462
1626,986,470,600
129,1442,1369,702
204,204,408,1332
21,1926,645,810
419,838,419,660
1892,812,770,197
1157,825,269,1214
279,344,1114,115
518,1036,518,483
111,79,821,1428
199,747,617,499
782,446,1483,1485
1790,751,830,430
1226,1226,1226,1091
91,403,163,1913
1707,1332,1973,1808
380,579,1725,368
886,1772,886,268
1581,1581,1581,406
154,308,154,1866
147,1202,1013,1829
132,264,132,37
1449,1491,1098,1595
1028,1239,315,813
824,432,693,1053
564,392,1147,913
1482,1482,1482,1522
131,262,131,201
1806,1136,169,1808
1818,909,909,749
1821,1691,197,509
90,45,45,1033
52,766,642,351
504,1008,504,1837
768,860,1277,1582
904,452,452,1227
1971,320,420,1340
339,339,339,36
1909,722,356,530
409,637,745,57
693,693,1386,459
880,671,1487,700
994,1988,994,853
715,1625,559,1425
882,441,441,307
293,308,305,685
1720,1723,1832,570
1290,60,163,1949
869,869,1738,1515
670,1340,670,557
1962,981,981,335
274,274,548,1660
608,1308,1327,1459
173,1443,1959,1423
1884,883,409,1760
1620,1610,1838,80
241,241,482,807
638,422,1396,377
132,1188,1380,1738
766,1689,1323,1585
1262,631,631,749
189,189,378,1067
1575,1370,776,72
2000,1557,967,1359
420,210,210,1592
269,1271,1388,1419
722,1444,722,1895
316,158,158,75
154,308,154,1380
729,615,973,922
106,106,212,402
565,153,395,1507
540,453,1604,686
1495,706,1987,1381
768,1536,768,1489
649,649,649,700
895,1429,1518,1569
1046,1359,512,1035
1330,229,766,1556
1270,326,364,1523
260,1941,1934,194
646,1292,646,1150
611,611,611,1446
45,45,45,1017
816,408,408,1792
607,607,1214,864
1012,506,506,928
245,641,680,665
518,518,1036,1073
1581,148,298,448
985,1970,985,1028
578,578,1156,476
204,1690,106,1769
1439,327,253,1421
669,1156,843,774
984,1023,793,215
1209,1138,954,1454
472,944,472,1688
838,419,419,702
278,1759,838,1107
1520,1520,1520,1261
171,1022,1492,702
1073,1786,1712,1856
660,1637,70,1925
900,1619,1232,745
624,1530,1487,1585
1222,1912,1669,614
910,1820,910,523
1705,1388,542,1380
839,218,1045,122
464,401,266,1145
1022,511,511,1397
516,267,54,211
8,8,16,680
112,567,1088,144
639,510,385,358
1670,188,528,845
1772,1315,1008,1449
906,236,1084,103
587,587,1174,373
470,880,854,1243
897,1794,897,749
679,185,1461,864
168,1534,998,702
14,196,364,333
189,189,378,1630
754,377,377,1656
118,1618,1912,1529
1986,1228,1904,56
1087,1881,615,1600
548,1560,1815,825
836,1048,631,114
158,790,584,1542
478,1748,741,868
788,1576,788,1074
1272,1975,532,1749
505,505,1010,1682
638,1530,1801,1508
643,1286,643,573
257,514,257,1318
202,876,1052,661
273,303,897,539
37,74,37,1161
823,587,487,826
669,669,669,310
1943,1929,322,715
849,143,1450,1986
1168,584,584,20
33,1622,127,908
1534,573,1469,1979
1267,1176,457,1690
1460,1669,427,191
912,456,456,1835
408,194,973,1690
1402,701,701,340
710,355,355,28
1064,1673,404,1445
1221,365,1949,1789
119,186,910,1564
333,333,333,290
1458,515,450,1514
861,1421,573,609
72,649,1220,537
1852,926,926,560
333,666,333,811
166,83,83,1613
1145,976,159,1502
1958,1750,1603,1846
1332,939,888,1390
249,498,249,1238
1781,1781,1781,1854
1748,874,874,291
1301,1880,917,779
1300,650,650,98
723,723,1446,1655
1658,829,829,330
1117,1117,1117,750
283,1705,1088,844
1242,1242,1242,1305
895,895,895,1950
76,376,283,845
226,226,452,1467
74,74,148,473
1279,1383,878,1004
195,390,195,1529
1493,844,1589,968
1922,9,260,1596
1458,1458,1458,1585
1539,1080,37,1208
1531,545,178,1841
972,1682,829,657
1212,493,409,1562
250,500,250,547
1770,656,104,1179
1907,1896,1579,1038
1410,1601,1685,922
1130,1746,500,902
345,345,690,1306
124,1547,869,1719
111,222,111,1051
821,943,1602,727
1947,65,1049,1416
1198,741,1808,308
632,770,1712,521
834,1975,827,894
159,739,839,943
1122,414,1141,474
917,1992,119,554
614,387,888,276
86,86,172,1011
1801,1865,406,1476
1175,1175,1175,78
836,593,756,58
981,1057,610,477
264,264,528,884
669,1570,1297,706
221,507,1135,1251
1694,847,847,1827
121,1612,1732,783
451,451,451,342
531,531,1062,777
331,700,1013,98
1586,1245,142,654
1694,1694,1694,494
1395,1748,966,96
552,136,924,12
318,1727,750,1493
876,876,876,1006
695,77,595,324
828,1131,314,1600
457,1706,1736,916
1698,1813,344,389
679,679,679,1453
1082,541,541,204
592,296,296,619
173,1914,198,1768
1007,942,654,307
164,1102,1425,677
1956,1180,1886,1613
273,667,1495,441
1539,543,611,1675
1781,1603,51,1221
1854,205,670,1181
850,850,1700,1549
717,681,1523,1752
116,58,58,1274
1175,1175,1175,254
177,177,177,218
1734,1863,1475,1500
1916,697,908,8
1164,289,1879,327
473,1316,986,766
399,399,399,765
1948,492,921,749
802,401,401,435
1133,1038,87,373
565,1823,788,525
1242,1242,1242,618
1257,1803,285,995
1567,977,928,736
1286,1286,1286,1006
122,122,122,973
396,1868,1554,641
463,1040,721,1110
500,1000,500,327
29,58,29,359
458,1490,314,294
1229,849,639,267
1184,66,812,1411
641,660,1514,1032
973,1946,973,1382
108,108,108,361
567,637,185,1636
359,359,359,1261
762,1338,1041,1022
1185,1654,1239,341
867,1734,867,1772
368,736,368,1368
1073,882,663,1661
1943,316,984,715
238,238,476,512
1387,1387,1387,1135
1018,277,747,1585
1035,170,1696,407
292,548,1095,542
228,1442,1691,1599
1579,1579,1579,916
925,1850,925,150
1189,1240,205,121
1110,537,742,1623
769,94,381,960
956,956,956,436
884,884,1768,210
1899,617,7,92
1226,613,613,190
216,1541,649,1682
681,1900,248,923
484,166,1998,1934
823,1873,1638,1929
32,16,16,701
1545,1843,56,208
1752,1743,257,1065
592,1905,1709,1423
73,1858,1522,239
1060,975,85,1958
1328,1141,903,502
830,1660,830,1778
791,791,1582,1478
1756,644,93,1055
905,729,958,562
1128,1382,1703,1363
1979,1607,724,462
464,928,464,757
1609,1000,1225,7
536,1072,536,1504
1269,1577,1764,1846
817,1143,328,1574
1152,576,576,1815
1189,783,366,1919
940,1882,231,1404
386,1115,1375,10
894,885,103,1214
638,319,319,748
1752,1112,382,1717
1959,1978,613,437
1520,932,470,413
717,1242,1765,581
295,590,295,677
1196,1796,1789,1502
1386,1139,1236,756
82,164,82,1823
220,110,110,1285
1070,535,535,298
611,611,1222,761
6,1105,50,1708
146,519,1713,1253
1439,141,1843,1249
1788,522,1263,627
66,33,33,1469
426,1681,1024,1903
462,1305,500,1711
194,1132,1129,1365
305,220,1088,794
42,986,276,523
220,440,220,481
854,1529,1207,368
9,9,9,1925
328,1333,1033,1956
1536,62,359,1113
602,602,1204,729
1774,887,887,316
1753,938,1850,25
343,343,686,1757
675,1350,675,1871
1674,1418,896,631
656,656,656,181
1772,1170,558,647
966,1457,230,118
1232,1323,669,1721
1647,1873,1323,895
1946,1952,1429,1716
1062,1790,219,1052
462,924,462,1884
54,54,108,1638
1633,1840,758,1128
1931,1931,1931,286
1358,890,1943,324
925,1512,372,1762
727,374,1585,1111
769,769,1538,1159
530,1920,1813,1968
1493,1115,528,313
1604,473,37,1446
1839,385,891,1061
138,138,276,318
691,1035,1424,1734
6,6,6,1069
580,947,1282,1218
582,1136,901,1878
1047,1047,1047,262
922,658,1517,460
26,52,26,776
932,100,1404,738
56,655,1832,562
655,797,874,414
533,1468,89,1167
1096,67,280,1019
1251,1292,131,1564
121,1549,377,1196
858,858,858,1558
151,1098,748,891
786,191,1805,1594
1890,945,945,1634
68,136,68,85
1603,965,1640,1762
1602,403,403,1371
674,1348,674,383
560,560,1120,128
490,490,980,1792
750,750,750,1352
741,741,1482,1588
530,530,530,1502
1134,1282,1958,806
79,158,79,334
1005,66,1184,1582
1260,497,1955,1882
1906,1152,975,580
893,918,255,1032
173,173,173,548
854,1708,854,228
1764,645,1904,675
1836,1728,265,128
370,1415,1467,962
1810,1009,1082,1360
1511,1511,1511,687
632,572,1367,799
74,1055,188,1793
1886,1216,751,1837
930,455,1655,1767
788,788,1576,446
719,719,719,1258
976,811,411,1902
177,275,904,1413
1780,1780,1780,996
678,1356,678,1691
1500,750,750,1094
1119,712,1911,452
1108,1309,1223,1497
1938,1900,1838,650
1615,1963,786,403
1270,567,956,1886
1466,942,1579,1663
401,1359,1538,529
1412,1364,1825,530
422,211,211,408
829,249,460,1035
1057,1608,71,773
1150,1726,1945,1964
6,3,3,285
20,20,40,1377
784,1563,1360,1271
1954,1193,1548,891
407,407,814,1956
366,1355,485,565
122,122,244,855
398,199,199,1811
378,756,378,208
146,1791,1900,982
643,827,1758,1301
783,960,476,1105
226,452,226,1440
1987,305,276,1406
566,560,723,1253
1604,1937,110,8
650,1043,736,1959
524,524,1048,1418
632,1761,1349,556
960,496,1379,821
1880,143,167,1319
591,1182,591,1820
170,1711,241,970
334,668,334,1381
1496,748,748,158
130,1588,752,1958
1008,1170,1237,141
1996,998,998,1665
430,215,215,1567
1889,1138,524,1253
778,1251,1400,1576
803,1089,1095,1692
1392,1486,959,502
698,1455,168,271
426,213,213,536
949,949,1898,1621
873,283,474,1127
365,1758,1570,1622
612,1136,982,1612
1577,1577,1577,1152
754,754,1508,212
792,792,1584,128
369,3,1704,440
682,492,1292,62
733,872,588,1409
722,1444,722,161
1095,1589,607,261
1466,1466,1466,1783
1847,612,558,1958
964,1928,964,700
1311,157,980,265
556,1254,154,1320
848,1085,611,701
1397,359,525,123
1866,1866,1866,765
1699,285,94,4
1803,992,1280,311
180,90,90,1272
999,20,397,1615
112,112,224,1898
1102,1831,1983,245
683,72,1776,950
697,942,1267,234
1358,679,679,1819
788,788,1576,435
680,642,284,1139
362,807,1833,1223
780,396,688,1372
438,85,300,795
107,891,752,289
910,1196,1117,324
95,1412,588,183
948,948,1896,1791
331,613,930,1506
1192,596,596,172
1622,942,1234,1180
1593,1388,831,1399
894,894,1788,1848
1556,1842,1284,1980
1450,725,725,1273
206,477,864,1610
1704,1246,1579,1032
393,1141,1726,1748
889,329,1139,885
966,1932,966,1255
220,1130,317,774
1542,1410,1825,616
189,1591,63,946
1452,1452,1452,609
3,6,3,320
996,1435,627,1997
477,477,954,642
1368,394,1574,838
1929,1469,81,243
1126,1246,1322,1382
1603,1266,274,824
1234,342,1355,1092
556,278,278,1827
690,1380,690,1797
1629,1521,956,1202
1977,1397,783,481
1459,876,1919,997
1464,9,840,1649
98,98,196,1207
625,1250,625,299
1214,93,1166,885
499,890,953,1915
1504,1386,1354,854
716,482,48,618
1527,1938,1531,1238
159,1974,1747,419
1204,1269,1861,1186
158,136,1614,516
406,1210,1725,1883
936,1396,280,254
698,1396,698,1299
1183,616,880,851
542,271,271,391
1580,464,1594,967
1889,722,1632,425
346,346,692,508
176,88,88,913
996,1350,1515,365
76,481,1472,1921
1661,1486,159,522
1303,1726,227,69
504,639,1435,515
1097,1765,1820,1258
848,848,848,968
497,493,449,561
301,602,301,857
1860,1860,1860,1281
1174,587,587,384
633,633,633,22
1405,1773,1405,917
23,46,23,733
1725,414,752,1042
899,899,1798,1072
818,818,818,133
961,1922,961,1326
448,1801,750,73
1637,1637,1637,1312
727,727,1454,1882
1347,1347,1347,485
381,1655,166,569
544,562,1416,513
946,520,733,1176
950,475,475,631
1698,88,1462,890
758,744,864,541
346,67,749,1436
659,594,1271,882
773,1832,669,1656
44,929,467,556
767,190,1956,1375
1147,1983,1522,1145
86,172,86,240
514,1906,1486,692
886,493,1301,1640
428,214,214,588
1292,155,373,686
398,873,1549,35
807,1207,610,887
247,247,494,1416
961,615,1632,1759
485,1321,206,1043
167,334,167,1273
916,1160,715,1869
1610,1228,16,265
313,1513,418,364
609,609,1218,930
369,738,369,737
1533,893,733,571
994,1988,994,940
877,1924,1611,1969
931,931,931,1399
384,768,384,432
1760,880,880,1801
1180,38,391,80
1995,54,559,1124
350,1127,447,511
793,1586,793,686
1474,4,1261,1505
745,745,745,1345
662,1592,643,1215
652,1671,77,1032
245,245,245,163
288,576,288,577
745,1648,555,1358
927,1368,860,1099
323,215,1726,1406
364,728,364,1787
411,411,411,547
1439,1547,1851,224
1015,1219,1358,1226
1165,478,1832,1569
942,1884,942,628
23,175,116,986
1084,984,96,16
769,468,1903,1774
460,506,756,1781
1220,873,1265,507
72,36,36,1075
1257,1057,70,645
752,1504,752,799
962,34,1764,293
331,1473,663,423
72,36,36,415
1896,1939,1680,1151
24,1415,1085,1480
1076,1076,1076,1587
191,1544,1467,885
1264,632,632,1127
599,1198,599,777
106,106,106,544
172,394,1899,359
749,651,1892,1795
1950,473,476,88
1454,369,1917,835
1439,1671,1134,761
207,150,1918,568
591,1261,739,913
497,1699,1234,648
1654,827,827,1251
1190,113,1227,830
881,671,1567,1986
34,34,34,1709
1408,770,159,106
1440,720,720,700
1592,796,796,953
